%Omega	X[%]	phi[deg]
0.965990004396	0.369892216559	-11.599230987284
0.966005871712	0.393408175552	-11.240311911894
0.971615973954	0.479689790344	-13.531494556264
0.971734494835	0.448026118261	-13.920414383766
0.977290296089	0.610362797099	-17.044080944026
0.977372653079	0.563977634891	-17.244064204517
0.982865470532	0.768781778663	-23.593550054168
0.982867363317	0.837568743405	-23.794255358948
0.985282370754	0.977900020482	-28.657543666287
0.985316488539	0.896792972774	-28.265981652602
0.987483802916	1.085297096031	-35.045627562923
0.987593818252	1.168258716635	-36.079264281707
0.990673856446	1.466975968275	-55.595167958892
0.990898459310	1.690235327699	-65.889294931850
0.993203194455	1.804475267001	-88.899039915402
0.993224579795	1.759907793796	-84.370382795049
0.995563876989	1.755179966625	-102.901306746246
0.995830605207	1.748851598269	-102.909890309461
0.998492679736	1.613957090611	-116.627118109518
0.998751282919	1.604986657871	-118.897436077364
1.003211131640	1.365891529417	-131.932873762586
1.003539704898	1.347838513161	-133.174607443057
1.008953914891	1.077754921374	-145.438290674297
1.009119376801	1.058441150874	-147.683070471544
1.014405744622	0.839044497157	-155.248086130927
1.014544647494	0.818496424084	-156.792020962451
