%Omega	zeta_max/w
9.934496166398e-01	1.932577718340e-01
9.893525171102e-01	2.099171844200e-01
9.855473372832e-01	2.237502051600e-01
9.816180212702e-01	2.393154672200e-01
9.775450150683e-01	2.632760640400e-01
9.733807105866e-01	2.812163572400e-01
9.695681608113e-01	2.908457472000e-01
9.654333287119e-01	3.004073232800e-01
9.613974127961e-01	3.129235189400e-01
9.572866479239e-01	3.253625385000e-01
9.535552203459e-01	3.356382976000e-01
9.493340183837e-01	3.514237976000e-01
9.452492507311e-01	3.579990051600e-01
9.412856189069e-01	3.607768998600e-01
9.373355256281e-01	3.615971385000e-01
9.336163585533e-01	3.615971385000e-01
9.315249923263e-01	3.615971385000e-01
9.293572486481e-01	3.436358993600e-01
9.276913526422e-01	3.472370432600e-01
9.253056191391e-01	3.460706612200e-01
9.236889298861e-01	3.480526742200e-01
9.211858494075e-01	3.484209757000e-01
9.195973255746e-01	3.483600454800e-01
9.173756806651e-01	3.621104757000e-01
9.140507526211e-01	4.455227827200e-02
9.141784467827e-01	4.410464531800e-02
9.171234728257e-01	3.918932746400e-01
9.154462250032e-01	3.863471986000e-01
9.130912745501e-01	3.895618155800e-01
9.116147652809e-01	3.993260146400e-01
9.181388132156e-01	3.819207355000e-01
9.203956238160e-01	3.763888582400e-01
9.220860244754e-01	3.728333005000e-01
9.244900247557e-01	3.725671732400e-01
9.260300004724e-01	3.807187814200e-01
9.287183852033e-01	3.878918850600e-01
9.302301033423e-01	3.816924177800e-01
9.324546078758e-01	3.760875177800e-01
9.340707952567e-01	3.719550805000e-01
9.381175865731e-01	3.595224906000e-01
9.419257516130e-01	3.526396038400e-01
9.459982673819e-01	3.400747759000e-01
9.499870955247e-01	3.288251067000e-01
9.539277041448e-01	3.210562178000e-01
9.578198349751e-01	3.093215541600e-01
9.621602894159e-01	2.957402359400e-01
9.699664074080e-01	2.438590919400e-01
9.742848166911e-01	1.977367028600e-01
9.783973270795e-01	1.878113267740e-01
9.821724259136e-01	1.793280496000e-01
9.852155810950e-01	1.728944698180e-01
9.882303388512e-01	1.652950642260e-01
9.914672626853e-01	1.556720396000e-01
9.948411168206e-01	1.487575446000e-01
9.985350674373e-01	1.447110983500e-01
1.002854881237e+00	1.377557920460e-01
8.971707013602e-01	3.640647200000e-02
9.012594631257e-01	3.832234700000e-02
9.056923255234e-01	4.053768480400e-02
9.094525243127e-01	4.274898255600e-02
9.133539910931e-01	4.538659816200e-02
9.172336862080e-01	4.834488904600e-02
9.212262519693e-01	5.145738188400e-02
9.253423610148e-01	5.483787427200e-02
9.293620259394e-01	5.896925700000e-02
9.340017610894e-01	6.455815366600e-02
9.379814166525e-01	7.118796874000e-02
9.420620734646e-01	7.918008255600e-02
9.459829661616e-01	8.989562308600e-02
9.482693112541e-01	9.996366922200e-02
9.497436453948e-01	1.083303133040e-01
9.513992903195e-01	1.224963970000e-01
9.540413748865e-01	2.554323491800e-01
9.554166066757e-01	2.494892856400e-01
9.578126649700e-01	2.467940383000e-01
9.596076658576e-01	2.434192947800e-01
9.619180131674e-01	2.390910959200e-01
9.636029478509e-01	2.370530686000e-01
9.659831497238e-01	2.304915427400e-01
9.673492191641e-01	2.276416547800e-01
9.698336985525e-01	2.229512163200e-01
9.739716141448e-01	2.161794807000e-01
9.786146669679e-01	2.031787274400e-01
9.826333833300e-01	1.875901576380e-01
9.867660396564e-01	2.160645406200e-01
9.907696433024e-01	2.055081858800e-01
9.944796223304e-01	1.946749407500e-01
9.494534872392e-01	2.363683830600e-01
9.494637034392e-01	2.297853410000e-01
9.454193729881e-01	2.367174497400e-01
9.413495737735e-01	2.490450253600e-01
9.372951186356e-01	2.529607297600e-01
9.334328678881e-01	2.645978804000e-01
9.294169460598e-01	2.710885484000e-01
9.253596308950e-01	2.907839097400e-01
9.237923216737e-01	2.741004514800e-01
9.216061092611e-01	2.984985138600e-01
9.157114016059e-01	3.883794866600e-01
9.136020429799e-01	3.988582632800e-01
9.117062283809e-01	3.919327084000e-01
9.108679687096e-01	3.947392229400e-01
9.094469087419e-01	4.094893270400e-01
