%Omega	X[%]	phi[deg]
0.932901468506	0.687948985784	-6.409376590023
0.933928771448	0.725698234358	-5.895535481371
0.936898910763	0.739564661607	-6.685228084910
0.938072497090	0.778932077590	-6.310529196405
0.940531766060	0.822227559735	-7.049480630730
0.940974334275	0.798402186515	-7.128374382553
0.946152212431	0.888396656986	-7.713540774100
0.950155419979	0.971259044423	-8.504457253406
0.954199940029	1.072840032886	-9.493660260936
0.958109012162	1.208231305694	-10.645528510676
0.962245002036	1.390560245156	-12.288384907902
0.966277859860	1.669624571528	-14.854562100625
0.967831798767	1.866825204954	-16.501223455851
0.941881106282	5.299548060823	-85.794402323111
0.944494345030	5.269604231354	-99.073520622267
0.946030879616	5.219789424926	-103.257732173945
0.948546156680	5.136772116758	-108.396225257675
0.950057846102	5.081430203259	-111.147003058950
0.954135446129	4.918658662977	-117.497919814478
0.958159641523	4.751808872496	-122.475055610513
0.962138928936	4.576046200469	-126.962004529637
0.966245177182	4.406660946411	-130.713949882152
0.970155225118	4.229763915369	-134.240803581782
0.970197612500	4.184694961657	-133.338010328626
0.971695662333	4.152901813252	-135.007380437002
0.974613576260	4.019567154676	-138.076427747617
0.974730148157	4.016129692850	-137.722779044360
0.976478365074	3.935289430713	-139.327178754737
0.978119397195	3.857646960207	-140.554352304135
0.978692291637	3.817995891928	-141.283390271356
0.982763682227	3.623887195415	-144.111665051666
0.986778544817	3.423465675899	-146.888057224203
0.990695455812	3.221764300660	-149.511245245655
