%Omega	zeta_max/w
1.014405744626e+00	3.480400880400e-02
1.008953914906e+00	4.637378581800e-02
1.003211131607e+00	6.065706645800e-02
9.984926797012e-01	7.268443718000e-02
9.955638770182e-01	7.927475916600e-02
9.932031944278e-01	8.122485554400e-02
9.908984593054e-01	7.601247945600e-02
9.875938182553e-01	5.030211164800e-02
9.852823707740e-01	4.150432062400e-02
9.828673633013e-01	3.539018303600e-02
9.772902960958e-01	2.574293815200e-02
9.716159739599e-01	2.005058824400e-02
9.660058717242e-01	1.656487335100e-02
9.659900044276e-01	1.599761408520e-02
9.717344948168e-01	1.930323730440e-02
9.773726530758e-01	2.369958662400e-02
9.828654705263e-01	3.272412204200e-02
9.853164885752e-01	3.818873245800e-02
9.874838028829e-01	4.670744056600e-02
9.906738564488e-01	6.486087829200e-02
9.932245798209e-01	7.867851266600e-02
9.958306052356e-01	7.865645044600e-02
9.987512829064e-01	7.248348627800e-02
1.003539704894e+00	5.968785340800e-02
1.009119376840e+00	4.430111058400e-02
1.014544647534e+00	3.331051489000e-02
