%Omega	zeta_max/w
9.946952783288e-01	1.128710939580e-01
9.907941105772e-01	1.259471371680e-01
9.867506436202e-01	1.384812571660e-01
9.826557796370e-01	1.512926062600e-01
9.786302792200e-01	1.601322274880e-01
9.764201088965e-01	1.548286095220e-01
9.739392306623e-01	4.520254104400e-02
9.716797999347e-01	3.986742365200e-02
9.701434021718e-01	3.764385372800e-02
9.677433637815e-01	3.440988228600e-02
9.660364179356e-01	3.248712480800e-02
9.578421048072e-01	2.479453672800e-02
9.620365429662e-01	2.771824443400e-02
9.659277079142e-01	3.124407858400e-02
9.699855710299e-01	3.617583953200e-02
9.742764679712e-01	4.289616074000e-02
9.764558454167e-01	4.844869066600e-02
9.786336656084e-01	5.709228900000e-02
9.802639162850e-01	6.642562962600e-02
9.843219113537e-01	1.459068746380e-01
9.870099273737e-01	1.386985445940e-01
9.908585027895e-01	1.257529427240e-01
9.947305029878e-01	1.123273621920e-01
