%Omega	X[%]	phi[deg]
0.957842104847	0.578335820626	-9.685963694725
0.962036542926	0.647081167104	-10.690327234604
0.965927707888	0.732695168983	-12.141343838289
0.966036417901	0.763278432519	-11.776866541332
0.967743363769	0.811627123052	-12.062918905773
0.969985571058	0.845634026616	-13.947823601083
0.970143402193	0.880148390746	-13.282340841665
0.971679799920	0.929662116720	-14.753395367976
0.973939230676	1.051066676200	-16.592896624148
0.974276467942	0.995376376626	-16.675431316372
0.976455845424	1.113838716240	-17.918892030333
0.978633665624	1.303972855705	-22.627409194179
0.980263916264	1.499632565075	-26.470210693149
0.976420108898	3.162944031312	-71.477948348440
0.978630279188	3.220444945913	-98.174370929462
0.982655779623	3.090554151138	-110.939079792931
0.984321911358	3.002127898935	-114.552963786518
0.986750643650	2.887453408335	-120.724868566526
0.987009927374	2.859301280543	-122.843981302623
0.990794110613	2.652770152368	-127.859454500121
0.990858502820	2.657319482464	-128.359215020660
0.994695278334	2.425599424888	-134.517071303195
0.994730503003	2.413495150457	-135.362115743994
